"texteid","txt","zeitstempel"
541,Modul 8: Theoretical Linguistics: Morphosyntax,2008-07-22 14:13:48.143
542,Modul 15: Language and its Theory,2008-07-22 14:13:48.800
543,Indo-European Linguistics,2008-07-22 14:13:48.841
544,Modul 12: Branches of Indo-European I,2008-07-22 14:13:48.887
545,Modul 5: History of German I,2008-07-22 14:13:48.927
546,Modul 7: Linguistic Variation and Language Change,2008-07-22 14:13:48.993
547,Modul 8: Levels of Grammar and Diachronic Change,2008-07-22 14:13:49.560
548,Modul 9: Branches of Indo-European II,2008-07-22 14:13:49.124
549,Modul 14: Topics in Indo-European Linguistics,2008-07-22 14:13:49.257
551,Germanistic Linguistics,2008-07-22 14:13:53.845
552,History of German,2008-07-22 14:13:53.952
134,German Lexicography,2008-04-15 13:19:43.600
143,Textuality,2008-04-15 15:30:28.506
144,Text coherence and text meaning,2008-04-15 15:30:56.829
146,Corpus Linguistics,2008-04-15 15:32:20.800
150,Modality,2008-04-15 15:38:25.784
152,Text: Structure and Processing,2008-04-15 15:41:12.972
553,ERASMUS-Courses,2008-07-22 14:13:54.630
153,Theories of morphologiy,2008-04-15 16:16:45.669
156,Formal Foundations,2008-04-15 16:18:05.435
157,Typologie of Negation,2008-04-15 16:18:45.666
158,Regionalism in Latin America,2008-04-16 10:29:59.465
159,Introduction to Old German Language,2008-04-16 11:09:34.815
160,An Introduction to Historical Grammar of German Language,2008-04-16 11:10:44.773
161,Social Variation in the History of German,2008-04-16 11:12:09.350
19074,Learning within working-situations,2017-11-04 22:47:42.192
163,An Introduction to Historical Linguistics,2008-04-16 11:14:11.422
164,Old High German,2008-04-16 11:14:57.586
165,Seminar on Language Change,2008-04-16 11:17:34.901
166,Diachronic Syntax: Clause Structure in the History of German,2008-04-16 11:18:02.670
167,Directed Reading,2008-04-16 11:18:40.637
554,Modul 2: Grammatiktheorie I:Representations of linguistic knowledge,2008-07-22 14:13:56.154
168,Directed Research,2008-04-16 11:19:11.517
169,Exercise Course to State Examination: Old High German / Middle High German,2008-04-16 11:20:54.905
170,Textual coherence: an exercise based on empirical data,2008-04-16 11:31:04.957
171,Contact-induced Language Variation,2008-04-16 14:00:11.284
172,Point of View and Reported Discourse From a Linguistic Point of View,2008-04-16 14:06:45.800
555,Modul 4: Language I,2008-07-22 14:13:57.178
173,Typology of Sentence Types and Speech Act Markings,2008-04-16 14:08:00.638
556,Modul 2: Linguistic data acquisition,2008-07-22 14:13:57.675
557,Modul 3: Linguistic research,2008-07-22 14:13:57.788
174,The syntax and semantics of clause linkage in German,2008-04-16 14:10:33.327
175,Morphosyntax of German dialects,2008-04-16 14:12:05.530
558,Modul 1: Representations of linguistic knowledge,2008-07-22 14:13:57.974
177,Colloquium Corpus Linguistics,2008-04-16 15:01:19.653
178,Modul 11: German from the point of view of Second Language Teaching II,2008-04-16 15:43:43.250
179,Modul 11: German from the point of view of Second Language Teaching II,2008-04-16 15:43:43.350
19075,Processes of teaching and learning in vocational education,2017-11-04 22:47:45.302
181,Modul 14: Master thesis,2008-04-16 15:43:43.520
182,Modul 1: Second Language Acquisition Research,2008-04-16 15:44:12.247
183,Modul 1: Second Language Acquisition Research,2008-04-16 15:44:12.258
184,Modul 2: German from the point of view of  Second Language Learning,2008-04-16 15:44:30.837
185,Modul 2: German from the point of view of  Second Language Learning,2008-04-16 15:44:30.846
186,Modul 3: German from the point of view of Second Language Teaching I,2008-04-16 15:44:50.801
187,Modul 3: German from the point of view of Second Language Teaching I,2008-04-16 15:44:50.811
188,"Modul 4: Preparation for the semester abroad: language practice, crosslinguistic and crosscultural studies",2008-04-16 15:45:10.953
19076,Teaching and learning environments in institutions of vocational education,2017-11-04 22:47:46.323
19077,Processes of teaching and learning in vocational education,2017-11-04 22:47:47.339
191,Modul 13: Semester abroad: internship at a host university,2008-04-16 15:50:26.669
192,Phonetics in Foreign Language Teaching,2008-04-16 15:53:24.913
193,Acquisition of Second Language Phonology,2008-04-16 15:54:24.594
194,Current issues in foreign language teaching and learning,2008-04-16 15:55:16.929
195,"Current issues in language teaching and learning, applied to German as a Foreign Language",2008-04-16 15:55:44.736
196,Formulaic Language and Language Acquisition,2008-04-16 15:56:19.723
559,Modul 7: Grammatiktheorie II: Typology,2008-07-22 14:13:58.640
560,Modul 5: Language II,2008-07-22 14:13:58.629
19649,"good and evil in the Old Testament (HS-H 410/411/611/612/613, BA[V1a/c]ATmH, MEd D, MRC-V1c/V2a-mH)",2018-01-08 13:14:05.479
561,Modul 6: Linguistic data acquisition,2008-07-22 14:13:58.727
199,Syntax and lexicon: Theoretical foundations and instruments for German as a Foreign Language,2008-04-16 15:59:31.401
562,B.A. program GERMAN,2008-07-22 14:13:58.991
201,Linguistic basics for German as a foreign language,2008-04-16 16:00:33.986
202,Principles of teaching German as a foreign language,2008-04-16 16:01:03.709
203,Practical training in German as a foreign language: Teaching grammar,2008-04-16 16:03:18.524
204,Comparing languages for German as a foreign language,2008-04-16 16:03:42.884
205,Models of human language processing,2008-04-16 16:04:20.953
206,Early First Language Acquisition,2008-04-16 16:04:53.256
563,M.A. Program HISTORICAL LINGUISTICS,2008-07-22 14:13:59.820
207,Experimental and Lab Exercise in Psycholinguistics,2008-04-16 16:05:58.463
208,Special problems of German grammar,2008-04-16 16:07:02.246
209,Media in Foreign Language Teaching,2008-04-16 16:07:30.638
210,Analysis of  teaching materials in the domain of  German as a foreign language,2008-04-16 16:08:01.261
211,German as  a foreign language in theory and practice (including a practical training at a language school and in a library),2008-04-16 16:08:31.718
212,Teaching German for Specific Purporses,2008-04-16 16:09:10.800
213,Teaching phonetics  a theoretical and practical approach,2008-04-16 16:10:30.734
214,Teaching of Grammar in German as a Foreign Language,2008-04-16 16:11:10.760
215,Intercultural Communication,2008-04-16 16:11:45.804
216,Teaching German as a foreign language with literature,2008-04-16 16:12:16.991
564,M.A. Program GERMAN AS A FOREIGN LANGUAGE,2008-07-22 14:13:59.917
217,German as a Foreign Language,2008-04-16 16:13:18.667
565,Modul 9: Branches of Indo-European II,2008-07-22 14:14:00.184
566,Modul 11: Practical skills,2008-07-22 14:14:00.248
567,Modul 11: Practical skills,2008-07-22 14:14:00.320
197,German as a Second Language - German as a Foreign Language: acquisition and learning in migration contexts,2008-04-16 16:14:11.942
218,Psycholinguistics: State of the Art: A Reading Course,2008-04-16 16:16:41.898
220,Language production,2008-04-16 16:18:29.272
568,M.A. Program LINGUISTIC,2008-07-22 14:14:00.393
569,Modul 13: Language and cognition I: Language acquisition and the mental lexicon,2008-07-22 14:14:00.482
570,Modul 12: Theoretical Linguistics III: Research literature,2008-07-22 14:14:00.547
571,Modul 11: Theoretical Linguistics II: Typology,2008-07-22 14:14:00.633
572,Modul 10: Theoretical Linguistics I: Morphosyntax,2008-07-22 14:14:00.697
573,Modul 9: English Linguistics III: Research literature,2008-07-22 14:14:00.736
574,Modul 8: English Linguistics II: Speech and language processes,2008-07-22 14:14:00.794
575,Modul 7: English Linguistics I: Synchrony,2008-07-22 14:14:00.842
576,Modul 6: German Linguistics III: Research literature,2008-07-22 14:14:00.889
577,Modul 5: German Linguistics II: Diachrony,2008-07-22 14:14:00.971
578,Modul 4: German Linguistics I: Synchrony,2008-07-22 14:14:01.360
579,Modul 6:  Language acquisition and the mental lexicon,2008-07-22 14:14:01.151
580,B.A. program GERMAN,2008-07-22 14:14:01.192
581,Modul 5: German Linguistics: Synchrony,2008-07-22 14:14:01.263
582,"Modul 4: Preparation for the semester abroad: language practice, crosslinguistic and crosscultural studies",2008-07-22 14:14:01.358
583,Modul 3: German from the point of view of Second Language Teaching I,2008-07-22 14:14:01.397
584,Specialization 2:Teaching German as a Foreign Language,2008-07-22 14:14:01.504
585,Specialization 1:Theoretical and Empirical Aspects of German as a Foreign Language,2008-07-22 14:14:01.543
586,Modul 15: Language and cognition III: Research literature,2008-07-22 14:14:01.590
587,Modul 14:  Language and cognition II: Speech and language production and perception,2008-07-22 14:14:01.675
588,Modul 2: German from the point of view of  Second Language Learning,2008-07-22 14:14:01.715
589,Modul 1: Second Language Acquisition Research,2008-07-22 14:14:01.759
593,Modul 10: Second-language Acquisition /Compulsory Option Modules,2008-07-22 14:14:03.159
594,Modul 11: Language Variations / Compulsory Option Modules,2008-07-22 14:14:03.633
595,Modul 4: Historical Linguistics,2008-07-22 14:14:03.699
596,Modul 1: Introduction to Linguistics,2008-07-22 14:14:04.110
597,Modul 5: Text and Discourse I,2008-07-22 14:14:04.810
598,Modul 9: Processes of Speech Communication / Compulsory Option Modules,2008-07-22 14:14:04.147
600,Violence and deviant behaviour in family and school,2008-07-23 13:10:20.859
601,Ethnography,2008-07-23 13:11:06.946
602,Fundamentals of Evaluation,2008-07-23 13:11:51.609
448,John Stuart Mills Political Liberalism,2008-06-13 12:41:13.701
390,Methods of research in philosophy,2008-06-17 16:46:24.379
450,Introduction to Comparative Health Policy,2008-06-18 13:12:56.207
451,Speech disorder within the special educational framework,2008-06-18 14:28:14.566
452,"Basics of special education for language impaired and an overview of disorders of hearing, speech and voice",2008-06-18 14:28:51.906
453,Post-Processing of the occupational field accessing internship,2008-06-18 14:29:37.700
454,Didactical competence,2008-06-18 14:30:20.920
455,Exercise course for grammatical analysis: therapy oriented grammatical analysis,2008-06-18 14:36:15.879
456,Late rehabilitation of speech impaired,2008-06-18 14:37:01.360
457,Disorder of oral fluency within the focus of linguistic heterogeneity,2008-06-18 14:37:44.109
458,Multiple handicaps and central auditory perceptive disoder in the pedagogy for hearing impairment,2008-06-18 15:14:00.530
459,Support diagnostics( support fields training to speak und to hear),2008-06-18 15:15:52.428
460,Preparation for the work placement to teach for the student from the department of pedagogy for deaf and hard of hearing schoolchildren,2008-06-18 15:16:22.765
461,Psycho social development of the hearing impairment children in the early childhood,2008-06-18 15:16:58.325
462,Teach and Learn - An Introduction to the Didactic Basis,2008-06-18 15:34:15.956
3703,Item,2010-09-24 06:56:49.860
463,Professional Conduct in Institutions for the Hearing Impaired,2008-06-18 15:35:00.620
